Epidemic_Week,Cases
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,2
11,2
12,4
13,2
14,1
15,5
16,1
17,3
18,1
19,0
20,1
21,3
22,1
23,3
24,4
25,2
26,3
27,6
28,4
29,3
30,1
31,5
32,8
33,2
34,3
35,6
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,2
63,2
64,1
65,1
66,0
67,1
68,2
69,0
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,3
80,0
81,2
82,0
83,0
84,0
85,0
86,0
87,2
88,4
89,2
90,1
91,0
92,4
93,5
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,5
103,1
104,1
105,6
106,8
107,0
108,4
109,1
110,6
111,3
112,1
113,1
114,5
115,1
116,7
117,5
118,13
119,4
120,9
121,2
122,5
123,8
124,3
125,6
126,5
127,12
128,11
129,8
130,11
131,15
132,19
133,9
134,15
135,15
136,9
137,24
138,21
139,19
140,17
141,32
142,12
143,17
144,19
145,16
146,16
147,13
148,15
149,13
150,10
151,10
152,12
153,8
154,7
155,15
156,11
157,22
158,24
159,17
160,34
161,25
162,21
163,43
164,39
165,34
166,15
167,22
168,41
169,31
170,52
171,37
172,26
173,52
174,40
175,31
176,25
177,58
178,59
179,56
180,32
181,55
182,39
183,26
184,50
185,69
186,53
187,53
188,54
189,51
190,73
191,58
192,50
193,41
194,24
195,34
196,22
197,32
198,24
199,23
200,22
201,26
202,21
203,24
204,19
205,21
206,20
207,19
208,13
209,5
210,5
211,9
212,7
213,8
214,9
215,7
216,11
217,10
218,14
219,8
220,7
221,7
222,3
223,11
224,5
225,4
226,8
227,6
228,9
229,5
230,4
231,5
232,5
233,1
234,7
235,4
236,5
237,2
238,2
239,3
240,0
241,2
242,0
243,9
244,6
245,2
246,6
247,3
248,5
249,7
250,11
251,9
252,6
253,4
254,9
255,7
256,6
257,4
258,12
259,5
260,3
261,3
262,5
263,1
264,6
265,0
266,1
267,1
268,3
269,2
270,1
271,3
272,1
273,2
274,3
275,1
276,1
277,1
278,1
