Epidemic_Week,Cases
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,1
76,2
77,4
78,1
79,4
80,11
81,16
82,23
83,12
84,14
85,18
86,8
87,7
88,10
89,7
90,10
91,5
92,11
93,8
94,18
95,13
96,9
97,22
98,10
99,5
100,13
101,2
102,11
103,11
104,3
105,7
106,7
107,4
108,5
109,6
110,7
111,7
112,4
113,9
114,17
115,8
116,22
117,18
118,21
119,16
120,31
121,25
122,28
123,26
124,18
125,27
126,11
127,38
128,29
129,21
130,11
131,10
132,5
133,6
134,2
135,1
136,2
137,2
138,3
139,5
140,1
141,4
142,2
143,4
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,1
153,2
154,3
155,4
156,6
157,2
158,2
159,5
160,1
161,1
162,0
163,0
164,0
165,0
166,2
167,0
168,3
169,0
170,0
171,0
172,2
173,2
174,3
175,3
176,3
177,1
178,2
179,3
180,6
181,5
182,1
183,4
184,5
185,8
186,5
187,2
188,3
189,3
190,1
191,6
192,4
193,1
194,2
195,3
196,1
197,8
198,4
199,6
200,7
201,5
202,8
203,6
204,5
205,6
206,6
207,13
208,2
209,10
210,3
211,12
212,7
213,6
214,5
215,6
216,6
217,6
218,8
219,6
220,9
221,12
222,19
223,8
224,16
225,21
226,6
227,22
228,37
229,33
230,18
231,83
232,116
233,32
234,7
235,9
236,10
237,5
238,8
239,7
240,8
241,11
242,6
243,7
244,7
245,14
246,7
247,9
248,13
249,16
250,7
251,9
252,2
253,13
254,8
255,3
256,5
257,4
258,8
259,2
260,3
261,5
262,7
263,3
264,5
265,6
266,5
267,5
268,4
269,0
270,0
271,0
272,0
273,0
274,2
275,4
276,4
277,3
278,3
279,5
280,6
281,14
282,3
283,7
284,11
285,2
286,6
287,8
288,25
289,21
290,10
291,28
292,39
293,20
294,24
295,28
296,26
297,8
298,9
299,12
300,18
301,9
302,9
303,6
304,6
305,8
306,5
307,7
308,6
309,5
310,3
311,1
312,0
313,1
314,2
315,3
316,2
317,2
318,2
319,2
320,2
321,4
322,0
323,6
324,3
325,2
326,6
327,2
328,7
329,4
330,6
331,6
332,2
333,13
334,10
335,5
336,2
337,0
338,1
339,0
340,14
341,6
342,10
343,5
344,12
345,9
346,5
347,11
348,2
349,6
350,7
351,6
352,5
353,9
354,5
355,8
356,3
357,4
358,11
359,5
360,8
361,4
362,3
363,1
364,2
365,3
366,4
367,1
368,8
369,5
370,3
371,2
372,7
373,1
374,6
375,7
376,5
377,2
378,6
379,11
380,6
381,3
382,11
383,11
384,5
385,4
386,9
387,23
388,28
389,26
390,7
391,29
392,58
393,26
394,38
395,35
396,37
397,20
398,29
399,25
400,23
401,9
402,3
403,6
404,6
405,3
406,1
407,3
408,1
409,1
410,0
411,2
412,1
413,1
414,0
415,0
416,1
417,0
418,3
419,3
420,1
421,5
422,2
423,5
424,5
425,5
426,9
427,17
428,19
429,25
430,45
431,34
432,63
433,44
434,50
435,35
436,16
437,16
438,13
439,9
440,15
441,4
442,0
443,1
444,10
445,11
446,29
447,35
448,30
449,20
450,21
451,12
452,9
453,11
454,9
455,5
456,11
457,3
458,5
459,5
460,4
461,4
462,1
463,0
464,2
465,3
466,3
467,5
468,2
