Epidemic_Week,Cases
1,4
2,5
3,4
4,3
5,6
6,2
7,4
8,5
9,10
10,6
11,8
12,2
13,6
14,17
15,23
16,13
17,21
18,28
19,24
20,20
21,40
22,27
23,42
24,33
25,43
26,37
27,57
28,71
29,44
30,56
31,53
32,52
33,47
34,26
35,27
36,21
37,21
38,26
39,34
40,37
41,17
42,19
43,25
44,18
45,21
46,17
47,17
48,16
49,16
50,15
51,23
52,16
53,17
54,12
55,17
56,10
57,15
58,19
59,21
60,14
61,18
62,13
63,14
64,18
65,23
66,25
67,62
68,60
69,76
70,66
71,64
72,68
73,89
74,92
75,140
76,116
77,142
78,129
79,140
80,140
81,127
82,129
83,169
84,141
85,108
86,78
87,70
88,81
89,104
90,90
91,85
92,55
93,53
94,65
95,33
96,38
97,59
98,40
99,37
100,29
101,30
102,30
103,28
104,23
105,24
106,29
107,26
108,23
109,20
110,19
111,20
112,26
113,29
114,31
115,28
116,26
117,32
118,35
119,33
120,30
121,52
122,59
123,67
124,65
125,74
126,70
127,61
128,53
129,76
130,61
131,57
132,44
133,34
134,47
135,60
136,60
137,53
138,36
139,31
140,30
141,32
142,28
143,33
144,33
145,35
146,22
147,13
148,13
149,21
150,17
151,11
152,8
153,8
154,6
155,6
156,7
157,12
158,17
159,10
160,10
161,18
162,19
163,12
164,22
165,12
166,21
167,18
168,16
169,16
170,22
171,17
172,25
173,23
174,12
175,25
176,28
177,27
178,18
179,23
180,23
181,29
182,38
183,36
184,43
185,46
186,31
187,25
188,40
189,31
190,38
191,30
192,22
193,31
194,26
195,35
196,36
197,39
198,25
199,31
200,37
201,33
202,25
203,24
204,18
205,23
206,13
207,18
208,14
209,17
210,22
211,13
212,24
213,31
214,34
215,31
216,31
217,38
218,49
219,42
220,49
221,55
222,80
223,84
224,72
225,89
226,115
227,179
228,202
229,272
230,302
231,395
232,426
233,461
234,381
235,333
236,353
237,410
238,364
239,359
240,288
241,221
242,149
243,112
244,154
245,91
246,72
247,56
248,46
249,37
250,26
251,17
252,17
253,20
254,11
255,7
256,16
257,14
258,16
259,5
260,2
261,6
262,5
263,4
264,3
265,4
266,16
267,8
268,7
269,10
270,14
271,7
272,9
273,11
274,23
275,17
276,19
277,24
278,17
279,28
280,40
281,33
282,31
283,33
284,29
285,30
286,36
287,48
288,40
289,28
290,36
291,19
292,34
293,23
294,17
295,17
296,23
297,14
298,20
299,13
300,23
301,20
302,16
303,16
304,23
305,14
306,15
307,4
308,5
309,5
310,11
311,11
312,7
313,4
314,6
315,5
316,2
317,4
318,2
319,4
320,6
321,6
322,4
323,6
324,11
325,16
326,9
327,12
328,13
329,27
330,21
331,19
332,17
333,24
334,27
335,30
336,29
337,25
338,35
339,33
340,30
341,29
342,31
343,29
344,22
345,27
346,24
347,26
348,29
349,22
350,33
351,24
352,30
353,20
354,17
355,24
356,28
357,18
358,13
359,9
360,14
361,11
362,11
363,19
364,10
365,8
366,8
367,9
368,3
369,7
370,14
371,4
372,9
373,14
374,7
375,9
376,3
377,3
378,14
379,12
380,10
381,21
382,26
383,47
384,42
385,31
386,34
387,33
388,52
389,56
390,70
391,112
392,70
393,47
394,48
395,49
396,66
397,56
398,61
399,67
400,64
401,68
402,49
403,50
404,56
405,75
406,63
407,62
408,41
409,50
410,34
411,31
412,38
413,30
414,32
415,26
416,30
417,36
418,35
419,46
420,48
421,44
422,51
423,59
424,71
425,102
426,128
427,127
428,150
429,191
430,256
431,329
432,263
433,220
434,204
435,181
436,99
437,54
438,80
439,102
440,127
441,73
442,68
443,64
444,55
445,67
446,84
447,85
448,67
449,73
450,89
451,68
452,59
453,56
454,77
455,75
456,47
457,50
458,42
459,28
460,37
461,37
462,27
463,12
464,15
465,22
466,8
467,15
468,17
469,10
470,9
471,11
472,20
473,13
474,11
475,16
476,11
477,7
478,17
479,14
480,13
481,15
482,30
483,25
484,40
485,44
486,25
487,21
488,48
489,56
490,60
491,45
492,55
493,32
494,46
495,61
496,42
497,37
498,43
499,34
500,40
501,25
502,16
503,17
504,17
505,16
506,23
507,18
508,18
509,9
510,7
511,7
512,4
513,3
514,2
515,8
516,3
517,1
518,1
519,2
520,3
521,3
522,2
523,0
524,0
525,2
526,2
527,0
528,6
529,3
530,6
531,2
532,3
533,2
534,4
535,5
536,2
537,9
538,2
539,4
540,8
541,6
542,3
543,11
544,14
545,15
546,20
547,9
548,20
549,28
550,38
551,30
552,30
553,23
554,16
555,22
556,28
557,14
558,17
559,20
560,17
561,10
562,13
563,20
564,9
565,18
566,9
567,8
568,19
569,11
570,4
571,6
572,6
573,8
574,13
575,8
576,8
577,5
578,16
579,12
580,11
581,18
582,10
583,22
584,14
585,16
586,18
587,27
588,38
589,35
590,41
591,51
592,65
593,55
594,54
595,62
596,64
597,56
598,65
599,71
600,75
601,71
602,72
603,47
604,27
605,35
606,25
607,19
608,37
609,38
610,34
611,26
612,19
613,18
614,22
615,16
616,18
617,6
618,12
619,6
620,6
621,3
622,7
623,6
624,1
625,3
626,2
627,2
628,1
629,10
630,3
631,3
632,1
633,1
634,2
635,6
636,3
637,3
638,5
639,4
640,7
641,6
642,5
643,7
644,6
645,4
646,4
647,7
648,9
649,5
650,5
651,10
652,6
653,13
654,6
655,5
656,5
657,9
658,3
659,6
660,11
661,7
662,7
663,15
664,9
665,6
666,6
667,6
668,7
669,10
670,8
671,7
672,12
673,3
674,2
675,7
676,5
677,5
678,7
679,7
680,7
681,7
682,10
683,13
684,10
685,14
686,11
687,20
688,25
689,17
690,18
691,25
692,21
693,31
694,32
695,26
696,35
697,28
698,37
699,41
700,34
701,30
702,39
703,39
704,39
705,34
706,30
707,37
708,29
709,26
710,15
711,22
712,15
713,20
714,14
715,10
716,21
717,14
718,14
719,9
720,11
721,5
722,6
723,7
724,11
725,4
726,3
727,2
728,6
729,10
730,7
731,5
732,3
733,12
734,13
735,10
736,13
737,13
738,8
739,21
740,18
741,8
742,7
743,20
744,14
745,14
746,7
747,14
748,10
749,13
750,27
751,13
752,18
753,16
754,16
755,20
756,17
757,4
758,15
759,8
760,6
761,12
762,15
763,11
764,10
765,15
766,17
767,7
768,7
769,8
770,9
771,12
772,12
773,5
774,4
775,11
776,4
777,5
778,7
779,1
