Date,CumulativeHumanInfected_true,CumulativeHumanInfected_mcmc
2,8,8.00000380397483
3,15,14.6510126865614
4,20,19.4530070124168
5,23,23.1665596791559
6,24,26.4271003939995
7,28,29.5686316790957
8,35,32.7729536881258
9,37,36.1660905196988
10,41,39.8619274455247
11,44,43.9733439880021
12,52,48.6440632987842
13,58,53.9908861175134
14,63,60.1924684230606
15,68,67.4065462916425
16,74,75.8286537711408
17,79,85.6637925186808
18,88,97.1033584512485
19,103,110.364506836829
20,121,125.625414642747
21,141,143.016060791407
22,163,162.642044795695
23,182,184.485083678111
24,218,208.425385199141
25,243,234.258113709918
26,273,261.59895078685
27,309,289.967597288435
28,330,318.829477204121
29,361,347.542462637641
30,379,375.487141712007
31,404,402.126951310665
32,425,426.964823538311
33,438,449.639819477377
34,455,469.961534581321
35,475,487.833859004657
36,486,503.28134055581
37,499,516.453915051731
38,513,527.543219870319
39,524,536.776547563134
40,527,544.418576048019
41,543,550.717742834218
42,549,555.902088179001
43,554,560.188372927661
44,563,563.758369587508
45,569,566.762628753079
46,575,569.332024087442
47,588,571.56745240657
48,601,573.54916321543
49,616,575.343103154255
