Date,CumulativeHumanInfected_true,CumulativeHumanInfected_mcmc
2,68,68.0000341827976
3,153,141.530973985549
4,241,242.301515903094
5,357,360.21280585919
6,470,483.817028034092
7,583,604.884464308817
8,725,720.114556922615
9,838,830.754872019628
10,948,941.494124008822
11,1073,1058.70747880862
12,1226,1190.42518241465
13,1385,1345.39665624231
14,1549,1533.38307254763
15,1770,1764.50704940617
16,1991,2050.16576144257
17,2304,2403.76732871822
18,2751,2836.42508488624
19,3326,3355.87176979966
20,3978,3971.60154038075
21,4664,4685.80901151151
22,5490,5490.17640996532
23,6407,6375.23806353858
24,7394.99999999999,7318.92325743204
25,8553.99999999999,8292.11355968645
26,9608,9268.72216426881
27,10574,10214.0641437663
28,11280,11104.9682334409
29,11969,11920.1698311857
30,12544,12646.568302884
31,13033,13280.5536263004
32,13468,13821.7400207866
33,13843,14277.6700894659
34,14230,14656.6073867179
35,14509,14969.6735070772
36,14790,15227.3773210657
37,14994,15439.961763878
38,15247,15616.3922852113
39,15486,15764.341920652
40,15756,15890.1800299971
41,16032,15999.0027461945
42,16259,16094.8794032395
43,16461,16180.9519772067
44,16608,16259.6599555352
45,16741,16332.8517033809
46,16834,16401.9378252517
47,16876,16467.9792624401
48,16889,16531.7654627249
49,16889,16593.9040761571
