"HealthTopicCode","MeasureCode","TimeUnit","TimeCode","GeoCode","XValue","XLabel","YValue","YLabel","ZValue","N"
"DENGUE","ALL.AGE.PROPORTION","M","2016-01","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-01","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-01","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-01","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-01","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-01","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-02","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-02","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-02","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-02","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-02","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-02","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-03","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-03","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-03","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-03","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-03","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-03","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-04","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-04","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-04","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-04","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-04","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2016-04","HR",6,"65+",NA,NA,NA,0
