Date,CumulativeHumanInfected_true,CumulativeHumanInfected_mcmc
2,5,4.99999718463233
3,10,9.32075319671911
4,14,11.8584783133384
5,14,13.1530323031728
6,14,13.954621481784
7,14,14.7082584621707
8,14,15.6362599889734
9,14,16.8528321789987
10,16,18.4279144582104
11,20,20.4205966872298
12,24,22.8873131885098
13,27,25.9003786217461
14,30,29.5385098106592
15,35,33.9004285269513
16,41,39.1014156865707
17,55,45.2622323130403
18,58,52.5327173440003
19,65,61.0421652192047
20,76,70.9442561708034
21,78,82.3518547614592
22,84,95.3584851530591
23,92,110.017122203237
24,117,126.284759755508
25,138,144.095008255242
26,148,163.232019655113
27,176,183.457395816129
28,215,204.424965121614
29,235,225.735153426905
30,259,247.005880753897
31,287,267.790388902628
32,313,287.75814719937
33,321,306.573263193533
34,330,324.00816700699
35,342,339.918763540633
36,360,354.209353653857
37,369,366.903544187347
38,378,378.030893733728
39,384,387.70878757193
40,390,396.048815992167
41,398,403.199776075517
42,403,409.301696357947
43,410,414.498552755528
44,416,418.920987825699
45,421,422.691199932669
46,424,425.913790580687
47,425,428.683869328108
48,425,431.07906043809
49,426,433.167131546481
