Date,CumulativeHumanInfected_true,CumulativeHumanInfected_mcmc
2,5,4.99999718463233
3,18,9.32075319671911
4,20,11.8584783133384
5,31,13.1530323031728
6,42,13.954621481784
7,45,14.7082584621707
8,52,15.6362599889734
9,59,16.8528321789987
10,63,18.4279144582104
11,68,20.4205966872298
12,74,22.8873131885098
13,81,25.9003786217461
14,88,29.5385098106592
15,92,33.9004285269513
16,101,39.1014156865707
17,118,45.2622323130403
18,126,52.5327173440003
19,148,61.0421652192047
20,166,70.9442561708034
21,187,82.3518547614592
22,203,95.3584851530591
23,234,110.017122203237
24,259,126.284759755508
25,287,144.095008255242
26,313,163.232019655113
27,331,183.457395816129
28,358,204.424965121614
29,369,225.735153426905
30,407,247.005880753897
31,436,267.790388902628
32,457,287.75814719937
33,468,306.573263193533
34,478,324.00816700699
35,483,339.918763540633
36,489,354.209353653857
37,491,366.903544187347
38,492,378.030893733728
39,494,387.70878757193
40,496,396.048815992167
41,499,403.199776075517
42,504,409.301696357947
43,505,414.498552755528
44,509,418.920987825699
45,511,422.691199932669
46,515,425.913790580687
47,515,428.683869328108
48,515,431.07906043809
49,515,433.167131546481
