Date,CumulativeHumanInfected_true,CumulativeHumanInfected_mcmc
2,2537,2537.0008926799
3,5126,4858.3839449038
4,7377,7375.67515884122
5,9509,9726.44873108364
6,11449,11786.9117054649
7,13344,13585.2586880736
8,15217,15223.9097173048
9,16922,16813.0466087379
10,18801,18455.8313194844
11,20780,20247.7435270902
12,22859,22267.8716616114
13,25111,24597.5054044397
14,27608,27301.9724858821
15,30302,30455.432709632
16,33387,34110.9066312611
17,37131,38329.9476624839
18,41582,43141.9237388544
19,47300,48578.2493106996
20,54090,54626.7552267811
21,61199,61266.9467694124
22,69453,68434.8863676035
23,77588,76045.9895869787
24,85945,83994.5782702978
25,94401.9999999999,92147.2687298084
26,102108,100377.362726262
27,109793,108550.501453676
28,116945,116544.829566404
29,123661,124253.97216065
30,130039,131596.244518834
31,136807,138521.178607699
32,143917,144989.38656217
33,150228,150975.192022969
34,155812,156487.581321428
35,160549,161529.258489603
36,164900,166120.490311472
37,169254,170305.08017968
38,173124,174124.412424636
39,176973,177593.507035657
40,180095,180742.399462782
41,183342,183616.121743791
42,186421,186244.646813313
43,189188,188647.38935492
44,191690,190851.895996543
45,193062,192884.16172717
46,195574,194759.381001852
47,197651,196495.107554707
48,199556,198109.767612973
49,201056,199614.988965365
