Date,CumulativeHumanInfected_true,CumulativeHumanInfected_mcmc
2,6,5.99999895661288
3,12,12.0678934387981
4,20,20.7865314133193
5,33,30.4771084138173
6,41,40.2897407140297
7,49,50.0546350675862
8,54,59.8865319562165
9,70,70.0180444561669
10,82,80.7259307886713
11,93,92.3049395757147
12,111,105.079924494229
13,121,119.387621835703
14,143,135.644177514099
15,157,154.19157258098
16,173,175.513641540017
17,191,199.992492728156
18,218,228.119837252014
19,256,260.259247836861
20,291,296.806464776831
21,332,338.028642731038
22,383,384.025883826183
23,448,434.844486335948
24,503,490.188011315704
25,557,549.645868500809
26,619,612.585999315186
27,683,678.046656319478
28,739,745.101338950471
29,804,812.571287099594
30,875,879.26705944772
31,950,944.166308819585
32,1021,1006.17733246116
33,1093,1064.52429172945
34,1140,1118.61364016471
35,1167,1167.96856024532
36,1202,1212.48359993811
37,1227,1252.13373127138
38,1246,1287.06575626306
39,1283,1317.61605525144
40,1321,1344.10792520394
41,1355,1366.98406164051
42,1381,1386.68320946868
43,1400,1403.61102898228
44,1418,1418.20328156046
45,1440,1430.81217698425
46,1456,1441.78196961004
47,1474,1451.4049012716
48,1480,1459.92503466186
49,1492,1467.56378908163
