Date,CumulativeHumanInfected_true,CumulativeHumanInfected_mcmc
2,1444,1444.00057721038
3,2700,2582.98149313549
4,3837,3894.96700543348
5,5279,5225.78789817204
6,6466,6478.10480594905
7,7363,7620.10441590411
8,8498,8667.85933566152
9,9683,9668.01143436621
10,10749,10675.5875553388
11,12018,11753.3685612579
12,13202,12961.3826213417
13,14641,14361.036354487
14,16232,16014.3935443316
15,18027,17986.8271261639
16,20110,20336.3474988773
17,22566,23123.885478754
18,26059,26418.0724945548
19,29993,30257.9135944625
20,34624,34666.7003696046
21,38999,39670.8240061003
22,44360,45239.1568015374
23,50638,51313.6914746881
24,57867,57825.8895378898
25,65912,64633.4469538108
26,74177,71605.387904594
27,81489.9999999999,78595.3036890804
28,87748.9999999999,85422.4910598595
29,93735.0000000001,91972.4389971403
30,98939,98111.2820406224
31,103174,103751.250471018
32,107357,108851.004629027
33,111166,113369.415288859
34,114668,117329.7800225
35,117796,120750.558833183
36,120481,123678.397766678
37,123115,126169.942054992
38,125426,128276.398092311
39,127770,130061.358821263
40,129944,131573.84723673
41,131998,132865.253335696
42,134052,133978.053344511
43,135765,134947.545760736
44,137121,135805.812872472
45,138001,136576.418805903
46,139486,137280.169944136
47,140742,137933.03316498
48,141903,138547.129874437
49,142854,139132.45367063
