Date,CumulativeHumanInfected_true,CumulativeHumanInfected_mcmc
2,1018,1444.00057721038
3,2022,2582.98149313549
4,3134,3894.96700543348
5,4366,5225.78789817204
6,5803,6478.10480594905
7,7540.67082644393,7620.10441590411
8,9671.88798005995,8667.85933566152
9,12277.8879800599,9668.01143436621
10,15356.8879800599,10675.5875553388
11,18525.8879800599,11753.3685612579
12,21851.8879800599,12961.3826213417
13,25136.8879800599,14361.036354487
14,29187.8879800599,16014.3935443316
15,33512.8879800599,17986.8271261639
16,38290.8879800599,20336.3474988773
17,42665.8879800599,23123.885478754
18,48185.8879800599,26418.0724945548
19,53801.8879800599,30257.9135944625
20,59625.8879800599,34666.7003696046
21,65291.8879800599,39670.8240061003
22,72454.88798006,45239.1568015374
23,78958.88798006,51313.6914746881
24,86029.88798006,57825.8895378898
25,92350.88798006,64633.4469538108
26,99439.88798006,71605.387904594
27,106528.88798006,78595.3036890804
28,112431.88798006,85422.4910598595
29,117288.863915371,91972.4389971403
30,121441.688564178,98111.2820406224
31,125091.688564178,103751.250471018
32,128428.688564178,108851.004629027
33,131714.047420139,113369.415288859
34,135221.046355882,117329.7800225
35,138969.935903535,120750.558833183
36,142727.935903535,123678.397766678
37,146262.266196319,126169.942054992
38,149340.146622324,128276.398092311
39,151728.797021988,130061.358821263
40,153418.739528719,131573.84723673
41,154623.798568894,132865.253335696
42,155557.798568894,133978.053344511
43,156414.798568894,134947.545760736
44,157256.798568894,135805.812872472
45,158060.798568894,136576.418805903
46,158865.798568894,137280.169944136
47,159618.798568894,137933.03316498
48,162950.298568894,138547.129874437
49,166281.798568894,139132.45367063
